,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
0,ADA,ADA,0.0,0.0,11.0,0.0,0.0,1,11.0,11.0,1,0,not specific
1,ADA,ADE,1.0,0.0,0.0,2.0,2.0,3,5.0,2.5,1,2,not specific
2,ADA,ADF,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
3,ADA,ADL,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
4,ADA,AIA,2.0,0.0,3.0,0.0,0.0,2,5.0,2.5,2,0,not specific
5,ADA,AIB,6.0,0.0,10.0,6.0,6.0,4,28.0,7.0,2,2,not specific
6,ADA,AIZ,0.0,0.0,0.0,3.0,0.0,1,3.0,0.75,0,1,not specific
7,ADA,ALM,0.0,0.0,0.0,3.0,0.0,1,3.0,0.6,0,1,not specific
8,ADA,ALN,0.0,0.0,0.0,7.0,0.0,1,7.0,2.3333333333333335,0,1,not specific
9,ADA,ASH,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific
10,ADA,AVA,3.0,5.0,17.0,20.0,6.0,5,51.0,10.2,3,2,core
11,ADA,AVB,28.0,45.0,62.0,18.0,5.0,5,158.0,158.0,3,2,core
12,ADA,AVD,1.0,1.0,8.0,31.0,10.0,5,51.0,12.75,3,2,core
13,ADA,AVE,4.0,1.0,4.0,28.0,29.0,5,66.0,33.0,3,2,core
14,ADA,AVJ,10.0,18.0,24.0,20.0,12.0,5,84.0,42.0,3,2,core
15,ADA,AVK,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
16,ADA,AWA,0.0,0.0,0.0,0.0,2.0,1,2.0,0.4,0,1,not specific
17,ADA,AWB,0.0,0.0,0.0,0.0,2.0,1,2.0,2.0,0,1,not specific
18,ADA,DVA,3.0,0.0,0.0,7.0,2.0,3,12.0,12.0,1,2,not specific
19,ADA,OLQ,0.0,1.0,0.0,9.0,6.0,3,16.0,8.0,1,2,not specific
20,ADA,PVP,0.0,0.0,1.0,0.0,0.0,1,1.0,,1,0,not specific
21,ADA,PVQ,0.0,0.0,0.0,1.0,0.0,1,1.0,0.3333333333333333,0,1,not specific
22,ADA,PVR,0.0,0.0,0.0,2.0,6.0,2,8.0,8.0,0,2,pristi_specific
23,ADA,RIA,0.0,0.0,0.0,15.0,14.0,2,29.0,29.0,0,2,pristi_specific
24,ADA,RIB,0.0,0.0,0.0,2.0,0.0,1,2.0,1.0,0,1,not specific
25,ADA,RIC,3.0,1.0,4.0,6.0,0.0,4,14.0,7.0,3,1,not specific
26,ADA,RIF,1.0,0.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific
27,ADA,RIM,13.0,11.0,38.0,15.0,4.0,5,81.0,81.0,3,2,core
28,ADA,RIP,8.0,11.0,13.0,0.0,0.0,3,32.0,10.666666666666666,3,0,cel_specific
29,ADA,RIV,0.0,0.0,5.0,0.0,0.0,1,5.0,1.25,1,0,not specific
30,ADA,RMF,1.0,4.0,0.0,0.0,3.0,3,8.0,2.6666666666666665,2,1,not specific
31,ADA,RMG,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
32,ADA,SAA,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2,0,not specific
33,ADA,SDQ,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
34,ADA,SIB,0.0,0.0,0.0,4.0,3.0,2,7.0,7.0,0,2,pristi_specific
35,ADA,SMD,1.0,2.0,4.0,5.0,0.0,4,12.0,12.0,3,1,not specific
36,ADA,URA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
37,ADA,URX,2.0,0.0,3.0,0.0,0.0,2,5.0,5.0,2,0,not specific
38,ADA,URY,0.0,0.0,2.0,2.0,0.0,2,4.0,2.0,1,1,not specific
39,ADE,ADA,2.0,2.0,2.0,6.0,0.0,4,12.0,12.0,3,1,not specific
40,ADE,ADE,9.0,8.0,14.0,0.0,0.0,3,31.0,31.0,3,0,cel_specific
41,ADE,AIN,0.0,2.0,0.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific
42,ADE,ALM,1.0,1.0,1.0,0.0,0.0,3,3.0,1.0,3,0,cel_specific
43,ADE,ALN,2.0,2.0,1.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific
44,ADE,AQR,3.0,0.0,0.0,11.0,4.0,3,18.0,18.0,1,2,not specific
45,ADE,ASI,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
46,ADE,ASJ,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
47,ADE,AVA,12.0,9.0,46.0,17.0,17.0,5,101.0,33.666666666666664,3,2,core
48,ADE,AVB,1.0,0.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific
49,ADE,AVD,0.0,2.0,7.0,1.0,0.0,3,10.0,2.0,2,1,not specific
50,ADE,AVE,1.0,1.0,7.0,0.0,0.0,3,9.0,2.25,3,0,cel_specific
51,ADE,AVH,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
52,ADE,AVJ,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
53,ADE,AVK,5.0,4.0,0.0,0.0,0.0,2,9.0,3.0,2,0,not specific
54,ADE,AVL,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific
55,ADE,BDU,1.0,0.0,1.0,0.0,0.0,2,2.0,0.4,2,0,not specific
56,ADE,CEP,5.0,5.0,8.0,0.0,0.0,3,18.0,18.0,3,0,cel_specific
57,ADE,DVA,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
58,ADE,DVC,2.0,0.0,0.0,8.0,0.0,2,10.0,10.0,1,1,not specific
59,ADE,FLP,1.0,1.0,9.0,0.0,0.0,3,11.0,5.5,3,0,cel_specific
60,ADE,IL1,8.0,5.0,4.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific
61,ADE,IL2,3.0,4.0,6.0,0.0,0.0,3,13.0,13.0,3,0,cel_specific
62,ADE,OLL,6.0,2.0,10.0,0.0,0.0,3,18.0,9.0,3,0,cel_specific
63,ADE,PVN,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific
64,ADE,PVP,1.0,0.0,0.0,4.0,0.0,2,5.0,1.0,1,1,not specific
65,ADE,PVR,0.0,2.0,0.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific
66,ADE,PVT,0.0,2.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific
67,ADE,RIA,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
68,ADE,RIF,0.0,1.0,1.0,4.0,0.0,3,6.0,3.0,2,1,not specific
69,ADE,RIG,34.0,34.0,87.0,56.0,35.0,5,246.0,246.0,3,2,core
70,ADE,RIH,3.0,0.0,4.0,0.0,0.0,2,7.0,7.0,2,0,not specific
71,ADE,RIM,0.0,0.0,0.0,6.0,0.0,1,6.0,3.0,0,1,not specific
72,ADE,RIV,6.0,6.0,5.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific
73,ADE,RMD,8.0,8.0,17.0,0.0,0.0,3,33.0,11.0,3,0,cel_specific
74,ADE,RME,1.0,0.0,4.0,0.0,0.0,2,5.0,5.0,2,0,not specific
75,ADE,RMF,7.0,5.0,0.0,0.0,0.0,2,12.0,6.0,2,0,not specific
76,ADE,RMG,1.0,0.0,0.0,4.0,0.0,2,5.0,5.0,1,1,not specific
77,ADE,RMH,2.0,2.0,3.0,0.0,0.0,3,7.0,7.0,3,0,cel_specific
78,ADE,SAA,3.0,4.0,1.0,0.0,0.0,3,8.0,2.0,3,0,cel_specific
79,ADE,SDQ,0.0,1.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
80,ADE,SIA,0.0,1.0,1.0,23.0,11.0,4,36.0,12.0,2,2,not specific
81,ADE,SIB,2.0,0.0,2.0,0.0,0.0,2,4.0,2.0,2,0,not specific
82,ADE,SMB,3.0,3.0,3.0,1.0,0.0,4,10.0,5.0,3,1,not specific
83,ADE,SMD,0.0,2.0,1.0,0.0,0.0,2,3.0,1.5,2,0,not specific
84,ADE,URB,1.0,1.0,3.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific
85,ADE,URX,0.0,0.0,2.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific
86,ADE,VBn,0.0,0.0,3.0,0.0,0.0,1,3.0,0.6,1,0,not specific
87,ADF,ADA,1.0,0.0,10.0,1.0,0.0,3,12.0,12.0,2,1,not specific
88,ADF,ADF,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
89,ADF,ADL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
90,ADF,AFD,0.0,0.0,2.0,0.0,9.0,2,11.0,11.0,1,1,not specific
91,ADF,AIA,0.0,2.0,2.0,0.0,3.0,3,7.0,7.0,2,1,not specific
92,ADF,AIB,1.0,2.0,3.0,0.0,0.0,3,6.0,3.0,3,0,cel_specific
93,ADF,AIN,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
94,ADF,AIY,0.0,0.0,2.0,4.0,2.0,3,8.0,4.0,1,2,not specific
95,ADF,AIZ,19.0,31.0,84.0,70.0,26.0,5,230.0,76.66666666666667,3,2,core
96,ADF,ASE,2.0,0.0,0.0,0.0,0.0,1,2.0,1.0,1,0,not specific
97,ADF,ASG,1.0,0.0,0.0,0.0,0.0,1,1.0,,1,0,not specific
98,ADF,ASH,0.0,1.0,10.0,0.0,0.0,2,11.0,,2,0,not specific
99,ADF,AUA,13.0,3.0,21.0,18.0,3.0,5,58.0,58.0,3,2,core
100,ADF,AVH,2.0,1.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific
101,ADF,AWA,0.0,0.0,1.0,1.0,3.0,3,5.0,1.6666666666666667,1,2,not specific
102,ADF,AWB,2.0,2.0,6.0,7.0,0.0,4,17.0,5.666666666666667,3,1,not specific
103,ADF,AWC,0.0,0.0,3.0,0.0,0.0,1,3.0,1.5,1,0,not specific
104,ADF,BAG,0.0,1.0,6.0,0.0,0.0,2,7.0,7.0,2,0,not specific
105,ADF,OLQ,1.0,2.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific
106,ADF,PVN,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
107,ADF,PVP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
108,ADF,PVQ,1.0,0.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific
109,ADF,RIA,35.0,29.0,122.0,115.0,13.0,5,314.0,104.66666666666667,3,2,core
110,ADF,RIB,0.0,0.0,4.0,4.0,0.0,2,8.0,4.0,1,1,not specific
111,ADF,RIC,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific
112,ADF,RIG,9.0,7.0,29.0,0.0,0.0,3,45.0,15.0,3,0,cel_specific
113,ADF,RIH,0.0,1.0,2.0,2.0,0.0,3,5.0,5.0,2,1,not specific
114,ADF,RIP,0.0,0.0,0.0,40.0,7.0,2,47.0,15.666666666666666,0,2,pristi_specific
115,ADF,RIR,6.0,7.0,11.0,7.0,5.0,5,36.0,36.0,3,2,core
116,ADF,RIV,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
117,ADF,SIB,1.0,1.0,0.0,0.0,0.0,2,2.0,1.0,2,0,not specific
118,ADF,SMB,13.0,9.0,31.0,31.0,0.0,4,84.0,84.0,3,1,not specific
119,ADF,SMD,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
120,ADF,URX,4.0,2.0,11.0,11.0,0.0,4,28.0,14.0,3,1,not specific
121,ADF,URY,1.0,0.0,2.0,0.0,0.0,2,3.0,1.0,2,0,not specific
122,ADL,ADA,0.0,2.0,2.0,3.0,3.0,4,10.0,10.0,2,2,not specific
123,ADL,ADL,0.0,0.0,3.0,3.0,0.0,2,6.0,6.0,1,1,not specific
124,ADL,AIA,14.0,21.0,42.0,12.0,5.0,5,94.0,47.0,3,2,core
125,ADL,AIB,24.0,30.0,54.0,114.0,14.0,5,236.0,236.0,3,2,core
126,ADL,AIM,0.0,0.0,0.0,7.0,0.0,1,7.0,7.0,0,1,not specific
127,ADL,ALA,0.0,0.0,5.0,6.0,2.0,3,13.0,13.0,1,2,not specific
128,ADL,ALM,0.0,0.0,0.0,5.0,0.0,1,5.0,1.6666666666666667,0,1,not specific
129,ADL,ASE,10.0,3.0,15.0,31.0,0.0,4,59.0,59.0,3,1,not specific
130,ADL,ASG,0.0,1.0,2.0,6.0,0.0,3,9.0,9.0,2,1,not specific
131,ADL,ASH,11.0,12.0,10.0,6.0,0.0,4,39.0,39.0,3,1,not specific
132,ADL,ASI,0.0,0.0,0.0,18.0,4.0,2,22.0,22.0,0,2,pristi_specific
133,ADL,ASJ,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
134,ADL,ASK,2.0,5.0,0.0,19.0,1.0,4,27.0,9.0,2,2,not specific
135,ADL,AVA,10.0,30.0,22.0,3.0,0.0,4,65.0,21.666666666666668,3,1,not specific
136,ADL,AVB,2.0,1.0,19.0,4.0,2.0,5,28.0,28.0,3,2,core
137,ADL,AVD,14.0,26.0,48.0,9.0,2.0,5,99.0,99.0,3,2,core
138,ADL,AVE,2.0,1.0,0.0,13.0,0.0,3,16.0,8.0,2,1,not specific
139,ADL,AVH,0.0,1.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
140,ADL,AVJ,8.0,5.0,14.0,3.0,0.0,4,30.0,30.0,3,1,not specific
141,ADL,AWA,0.0,2.0,1.0,0.0,0.0,2,3.0,0.6,2,0,not specific
142,ADL,AWB,1.0,2.0,3.0,5.0,3.0,5,14.0,3.5,3,2,core
143,ADL,AWC,8.0,13.0,9.0,5.0,0.0,4,35.0,35.0,3,1,not specific
144,ADL,CEP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
145,ADL,HSN,2.0,0.0,0.0,12.0,0.0,2,14.0,4.666666666666667,1,1,not specific
146,ADL,IL1,0.0,0.0,0.0,4.0,0.0,1,4.0,4.0,0,1,not specific
147,ADL,IL2,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
148,ADL,OLL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
149,ADL,OLQ,0.0,2.0,3.0,2.0,3.0,4,10.0,,2,2,not specific
150,ADL,PVC,0.0,2.0,3.0,0.0,0.0,2,5.0,1.6666666666666667,2,0,not specific
151,ADL,PVD,0.0,0.0,0.0,3.0,5.0,2,8.0,2.6666666666666665,0,2,pristi_specific
152,ADL,PVN,1.0,0.0,0.0,8.0,0.0,2,9.0,,1,1,not specific
153,ADL,PVP,1.0,0.0,0.0,1.0,0.0,2,2.0,,1,1,not specific
154,ADL,PVQ,2.0,0.0,0.0,1.0,0.0,2,3.0,3.0,1,1,not specific
155,ADL,RIA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
156,ADL,RIC,0.0,0.0,6.0,0.0,0.0,1,6.0,3.0,1,0,not specific
157,ADL,RIF,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
158,ADL,RIG,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
159,ADL,RIP,0.0,0.0,5.0,0.0,0.0,1,5.0,1.6666666666666667,1,0,not specific
160,ADL,RIR,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
161,ADL,RMG,0.0,0.0,0.0,6.0,3.0,2,9.0,9.0,0,2,pristi_specific
162,ADL,SIB,2.0,0.0,1.0,0.0,0.0,2,3.0,3.0,2,0,not specific
163,ADL,SMB,6.0,10.0,10.0,5.0,0.0,4,31.0,31.0,3,1,not specific
164,ADL,SMD,0.0,0.0,0.0,2.0,5.0,2,7.0,7.0,0,2,pristi_specific
165,ADL,URB,0.0,0.0,6.0,0.0,0.0,1,6.0,6.0,1,0,not specific
166,ADL,URX,0.0,0.0,7.0,0.0,0.0,1,7.0,7.0,1,0,not specific
167,ADL,URY,0.0,1.0,0.0,0.0,4.0,2,5.0,1.25,1,1,not specific
168,AFD,ADF,0.0,0.0,0.0,2.0,0.0,1,2.0,0.4,0,1,not specific
169,AFD,AFD,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
170,AFD,AIB,0.0,0.0,1.0,1.0,2.0,3,4.0,4.0,1,2,not specific
171,AFD,AIN,0.0,1.0,3.0,6.0,0.0,3,10.0,10.0,2,1,not specific
172,AFD,AIY,27.0,20.0,56.0,116.0,26.0,5,245.0,245.0,3,2,core
173,AFD,AIZ,0.0,1.0,0.0,1.0,0.0,2,2.0,1.0,1,1,not specific
174,AFD,ASE,2.0,1.0,7.0,4.0,0.0,4,14.0,4.666666666666667,3,1,not specific
175,AFD,ASH,0.0,0.0,0.0,8.0,0.0,1,8.0,2.6666666666666665,0,1,not specific
176,AFD,AUA,0.0,0.0,0.0,4.0,0.0,1,4.0,2.0,0,1,not specific
177,AFD,AWB,0.0,1.0,4.0,0.0,0.0,2,5.0,5.0,2,0,not specific
178,AFD,AWC,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
179,AFD,BAG,0.0,3.0,0.0,0.0,0.0,1,3.0,3.0,1,0,not specific
180,AFD,PVP,0.0,0.0,0.0,0.0,2.0,1,2.0,1.0,0,1,not specific
181,AFD,SIB,0.0,0.0,0.0,4.0,2.0,2,6.0,6.0,0,2,pristi_specific
182,AIA,ADA,4.0,5.0,8.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific
183,AIA,ADF,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
184,AIA,ADL,2.0,7.0,11.0,6.0,0.0,4,26.0,13.0,3,1,not specific
185,AIA,AIA,0.0,0.0,1.0,5.0,0.0,2,6.0,6.0,1,1,not specific
186,AIA,AIB,25.0,34.0,99.0,63.0,19.0,5,240.0,,3,2,core
187,AIA,AIM,0.0,0.0,6.0,4.0,0.0,2,10.0,3.3333333333333335,1,1,not specific
188,AIA,AIY,0.0,0.0,0.0,0.0,8.0,1,8.0,8.0,0,1,not specific
189,AIA,AIZ,0.0,0.0,6.0,0.0,0.0,1,6.0,,1,0,not specific
190,AIA,ASE,2.0,1.0,20.0,17.0,0.0,4,40.0,20.0,3,1,not specific
191,AIA,ASG,2.0,3.0,6.0,2.0,0.0,4,13.0,13.0,3,1,not specific
192,AIA,ASH,1.0,0.0,1.0,38.0,17.0,4,57.0,28.5,2,2,not specific
193,AIA,ASI,2.0,1.0,2.0,3.0,0.0,4,8.0,4.0,3,1,not specific
194,AIA,ASJ,0.0,0.0,4.0,0.0,0.0,1,4.0,1.3333333333333333,1,0,not specific
195,AIA,ASK,5.0,3.0,10.0,19.0,0.0,4,37.0,18.5,3,1,not specific
196,AIA,AWA,1.0,0.0,4.0,1.0,0.0,3,6.0,6.0,2,1,not specific
197,AIA,AWB,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
198,AIA,AWC,13.0,21.0,19.0,2.0,3.0,5,58.0,11.6,3,2,core
199,AIA,HSN,2.0,0.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific
200,AIA,PVQ,0.0,1.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific
201,AIA,RIF,3.0,3.0,51.0,0.0,0.0,3,57.0,57.0,3,0,cel_specific
202,AIA,RIR,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific
203,AIA,RMG,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
204,AIB,ADA,2.0,0.0,0.0,0.0,0.0,1,2.0,0.5,1,0,not specific
205,AIB,ADL,0.0,1.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific
206,AIB,AIA,0.0,1.0,1.0,3.0,0.0,3,5.0,5.0,2,1,not specific
207,AIB,AIB,0.0,2.0,2.0,4.0,0.0,3,8.0,4.0,2,1,not specific
208,AIB,AIY,0.0,1.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific
209,AIB,AIZ,0.0,2.0,7.0,1.0,0.0,3,10.0,10.0,2,1,not specific
210,AIB,AQR,1.0,0.0,1.0,0.0,0.0,2,2.0,0.4,2,0,not specific
211,AIB,ASE,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
212,AIB,ASH,0.0,0.0,6.0,8.0,0.0,2,14.0,14.0,1,1,not specific
213,AIB,ASK,0.0,0.0,0.0,1.0,0.0,1,1.0,0.3333333333333333,0,1,not specific
214,AIB,AUA,1.0,4.0,1.0,0.0,0.0,3,6.0,3.0,3,0,cel_specific
215,AIB,AVA,9.0,7.0,9.0,20.0,3.0,5,48.0,48.0,3,2,core
216,AIB,AVB,17.0,14.0,39.0,37.0,3.0,5,110.0,55.0,3,2,core
217,AIB,AVD,0.0,0.0,0.0,2.0,0.0,1,2.0,0.4,0,1,not specific
218,AIB,AVE,2.0,3.0,5.0,9.0,0.0,4,19.0,19.0,3,1,not specific
219,AIB,AVK,0.0,1.0,0.0,2.0,0.0,2,3.0,3.0,1,1,not specific
220,AIB,AWC,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
221,AIB,BAG,1.0,2.0,0.0,0.0,0.0,2,3.0,0.75,2,0,not specific
222,AIB,DVA,2.0,1.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific
223,AIB,DVC,1.0,0.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific
224,AIB,FLP,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
225,AIB,IL2,0.0,0.0,0.0,0.0,2.0,1,2.0,1.0,0,1,not specific
226,AIB,PVT,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
227,AIB,RIA,1.0,1.0,3.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific
228,AIB,RIB,15.0,22.0,27.0,10.0,2.0,5,76.0,76.0,3,2,core
229,AIB,RIC,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
230,AIB,RIF,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
231,AIB,RIG,1.0,4.0,6.0,0.0,0.0,3,11.0,2.2,3,0,cel_specific
232,AIB,RIM,53.0,43.0,114.0,89.0,21.0,5,320.0,320.0,3,2,core
233,AIB,RIV,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2,0,not specific
234,AIB,RMF,2.0,4.0,7.0,0.0,0.0,3,13.0,3.25,3,0,cel_specific
235,AIB,RMH,0.0,0.0,0.0,3.0,0.0,1,3.0,1.5,0,1,not specific
236,AIB,SAA,10.0,9.0,22.0,6.0,0.0,4,47.0,15.666666666666666,3,1,not specific
237,AIB,SIA,1.0,0.0,5.0,2.0,0.0,3,8.0,8.0,2,1,not specific
238,AIB,SIB,1.0,1.0,4.0,2.0,0.0,4,8.0,2.6666666666666665,3,1,not specific
239,AIB,SMD,24.0,24.0,44.0,61.0,24.0,5,177.0,177.0,3,2,core
240,AIB,URA,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
241,AIB,URY,0.0,0.0,0.0,5.0,0.0,1,5.0,2.5,0,1,not specific
242,AIB,VBn,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
243,AIM,ADA,1.0,2.0,0.0,0.0,0.0,2,3.0,0.6,2,0,not specific
244,AIM,ADF,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
245,AIM,ADL,0.0,0.0,0.0,3.0,0.0,1,3.0,1.0,0,1,not specific
246,AIM,AIA,15.0,19.0,24.0,0.0,0.0,3,58.0,29.0,3,0,cel_specific
247,AIM,AIB,0.0,0.0,0.0,3.0,4.0,2,7.0,3.5,0,2,pristi_specific
248,AIM,AIM,2.0,1.0,1.0,0.0,0.0,3,4.0,1.0,3,0,cel_specific
249,AIM,AIY,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
250,AIM,AIZ,1.0,3.0,0.0,0.0,0.0,2,4.0,1.3333333333333333,2,0,not specific
251,AIM,ALA,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific
252,AIM,ALM,1.0,2.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific
253,AIM,ASG,13.0,14.0,16.0,0.0,0.0,3,43.0,14.333333333333334,3,0,cel_specific
254,AIM,ASH,4.0,2.0,0.0,4.0,0.0,3,10.0,10.0,2,1,not specific
255,AIM,ASJ,1.0,4.0,6.0,2.0,0.0,4,13.0,4.333333333333333,3,1,not specific
256,AIM,ASK,6.0,8.0,11.0,3.0,0.0,4,28.0,28.0,3,1,not specific
257,AIM,AVA,1.0,1.0,1.0,0.0,0.0,3,3.0,0.75,3,0,cel_specific
258,AIM,AVB,3.0,3.0,0.0,0.0,0.0,2,6.0,1.2,2,0,not specific
259,AIM,AVD,2.0,3.0,3.0,0.0,0.0,3,8.0,8.0,3,0,cel_specific
260,AIM,AVF,10.0,8.0,16.0,11.0,6.0,5,51.0,25.5,3,2,core
261,AIM,AVH,0.0,0.0,5.0,0.0,0.0,1,5.0,1.25,1,0,not specific
262,AIM,AVJ,1.0,2.0,2.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific
263,AIM,AWB,2.0,2.0,0.0,0.0,0.0,2,4.0,1.3333333333333333,2,0,not specific
264,AIM,BDU,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific
265,AIM,CEP,1.0,1.0,4.0,12.0,8.0,5,26.0,13.0,3,2,core
266,AIM,HSN,3.0,0.0,6.0,0.0,0.0,2,9.0,3.0,2,0,not specific
267,AIM,OLQ,0.0,0.0,1.0,0.0,2.0,2,3.0,1.0,1,1,not specific
268,AIM,PVN,2.0,0.0,1.0,2.0,0.0,3,5.0,5.0,2,1,not specific
269,AIM,PVQ,0.0,0.0,1.0,1.0,2.0,3,4.0,1.3333333333333333,1,2,not specific
270,AIM,RIC,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
271,AIM,RID,2.0,0.0,3.0,0.0,0.0,2,5.0,1.6666666666666667,2,0,not specific
272,AIM,RIF,2.0,4.0,5.0,6.0,0.0,4,17.0,5.666666666666667,3,1,not specific
273,AIM,RMD,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
274,AIM,RMG,1.0,0.0,8.0,1.0,0.0,3,10.0,3.3333333333333335,2,1,not specific
275,AIM,SDQ,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
276,AIM,SIA,1.0,1.0,0.0,0.0,0.0,2,2.0,1.0,2,0,not specific
277,AIM,SIB,0.0,1.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific
278,AIM,SMB,2.0,2.0,4.0,1.0,2.0,5,11.0,2.75,3,2,core
279,AIM,URX,1.0,0.0,6.0,1.0,1.0,4,9.0,9.0,2,2,not specific
280,AIN,ADF,0.0,0.0,0.0,1.0,3.0,2,4.0,2.0,0,2,pristi_specific
281,AIN,AFD,16.0,17.0,22.0,0.0,0.0,3,55.0,55.0,3,0,cel_specific
282,AIN,AIA,0.0,1.0,3.0,0.0,0.0,2,4.0,4.0,2,0,not specific
283,AIN,AIB,4.0,2.0,2.0,17.0,6.0,5,31.0,31.0,3,2,core
